N,pair_id,member,p2,p3,p4,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,geometric_mean_logdet,harmonic_mean,minimum_singular_value,inverse_condition_number,low_tail_log_resolvent_lambda_0.02,low_tail_log_resolvent_lambda_0.05,low_tail_log_resolvent_lambda_0.10,low_tail_log_resolvent_lambda_0.20
10,3,A,1.0,1.6641972622403896,2.999363866259375,1.129823419165271,0.5346555046773757,0.006104481851443218,0.08692268284264026,2.1449458029160837,1.308162727376613,0.12320431489221113,0.08159416435672867,0.22517923224747333,1.430183519373372,0.27952134402751,0.04882403893013243,0.006104481851443218,0.0028459841937004144,-2.2885010924841636,-2.0453592328134382,-1.7396173121554992,-1.2642133662247725
10,3,B,1.0000000000000002,1.6641972622403896,2.999363866259375,1.129823419165271,0.5346555046773757,0.017465610649700543,0.47339499819759856,1.8051978342928932,2.031541853805866,0.12320431489221113,0.10957505346066578,0.20069403686253875,0.8717046772090492,0.3661073169293979,0.11555073561149262,0.017465610649700543,0.00859721920913452,-1.9185872770987522,-1.7449626211298568,-1.5138518636114087,-1.136735634923554
10,4,A,1.0,1.1681391444706481,1.480445033256029,1.069024686662098,0.8529980922774865,1.0365658363649288,0.9737850022932707,0.8856880842855424,1.0894866912224563,0.6355388820673451,0.9264477360216328,0.21615669762798095,1.6812171427103157,0.847003891079431,0.7132524282387493,0.21615669762798095,0.12857155220265684,-0.3308337804973862,-0.3243055056434302,-0.3024314087813944,-0.22998257950879855
10,4,B,1.0,1.1681391444706484,1.480445033256029,1.069024686662098,0.8146897912618563,1.407429789402943,0.5877063424936094,0.8856880842855424,1.0894866912224563,0.6355388820673451,0.7648258602514104,0.6248313843352792,1.5863487155223395,0.8963829850907905,0.852250994686913,0.5877063424936094,0.3704773967683987,-0.2181735523079492,-0.21502353880846575,-0.20387862152718136,-0.16084947541491476
10,5,A,1.0000000000000002,1.338688193432467,1.9381537203367227,0.5295936132182592,1.3555436658562725,0.471668220453217,0.39926909810217925,0.45688290539416776,1.2440667376600887,1.7867256412870314,1.0731985283947332,1.173155694894742,0.1525232174843069,0.6951902464074076,0.5223710558544938,0.1525232174843069,0.08536465474041101,-0.7245465249401454,-0.7114066543408895,-0.6696301072480367,-0.5450814826873744
10,5,B,1.0000000000000002,1.338688193432467,1.9381537203367227,0.5506601313036181,1.3614514930587978,0.5859827437348593,0.39926909810217925,0.45688290539416776,1.658754218373114,1.5657494270067203,0.6456009919575578,1.173155694894742,0.3681819163427974,0.7522683390032288,0.653197856373276,0.3681819163427974,0.2219629118435073,-0.5681620228637151,-0.5620968077404734,-0.5409253703482271,-0.46291232347079053
10,6,A,1.0,1.1817356626714628,1.458681176831216,1.083035572679685,0.795323812344663,1.1958796853259033,0.8137016999099667,1.277122306310655,0.2653773196392662,0.25840712714020536,1.3103561350994983,0.7119931542008425,1.4526001173009058,0.7939170775825615,0.6442050230210616,0.25840712714020536,0.17789281720584935,-0.4600575831108391,-0.4523207310140447,-0.42608817859403103,-0.3373259394906013
10,6,B,1.0,1.181735662671463,1.458681176831216,1.083035572679685,0.8936771025761912,1.0145368618586177,0.8137016999099667,1.2209048540369074,0.2653773196392662,0.11846481606773371,1.4103736659138348,0.8140706411691244,1.4526001173009058,0.7428196389421388,0.5022252982790884,0.11846481606773371,0.08155363245313145,-0.5909176249366963,-0.5727889980685681,-0.5198277349704382,-0.38451535000346215
10,7,A,1.0,1.4695042640972342,2.293937173974578,0.023103858927842637,0.12732566164806455,0.0036533903320201642,1.580081849993,1.594077940853843,0.6274721727342052,0.47135381482242356,0.6549662657058338,0.9428545730564656,1.7354096359891245,0.31142199481905225,0.03003055944174288,0.0036533903320201642,0.0021052034379985774,-1.9310880135400166,-1.6184133176960747,-1.3134373873993888,-0.931301651631039
10,7,B,1.0,1.469504264097234,2.293937173974578,0.023103858927842637,0.03859007045348961,0.009809236504864866,1.6731685706634996,1.4717225923729922,0.6274721727342052,0.47135381482242356,0.6549662657058338,0.9878750842525711,1.7354096359891245,0.3058035636708413,0.055788428963386705,0.009809236504864866,0.005652404078806405,-2.1254091793791257,-1.7649396401010538,-1.3903629979221854,-0.9569461464554442
